# $Id$
# PcbXY Version 1.0
# Date: Sun 17 Oct 2010 23:32:30 GMT UTC
# Author: Richard Barlow
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mils.  rotation in degrees.
# --------------------------------------------
U1,"TSSOP14","sr-ic-lm339",1358.24,899.60,0,bottom
D2,"SOT23","sr-ic-ts2431",1304.89,1382.28,0,bottom
C13,"0805","sr-c-2u2-0805",1415.35,1773.63,270,bottom
Q6,"SO8","sr-fet-n-irf8721",1543.11,1316.81,90,bottom
LED104,"PLCC2","sr-led-red-plcc2",2124.01,1203.23,270,top
U2,"OPTO4","sr-ic-hcpl-817",1361.37,1219.70,90,top
R111,"1206","sr-r-100-1206",2064.96,685.05,270,bottom
J1,"camcon2","sr-cn-camcon2w",1438.98,2395.67,180,top
LED102,"PLCC2","sr-led-yellow-plcc2",1419.29,478.82,270,top
R110,"1206","sr-r-100-1206",2226.37,570.88,0,bottom
U5,"OPTO4","sr-ic-hcpl-817",1361.37,1652.77,90,top
U6,"OPTO4","sr-ic-hcpl-817",1361.37,1869.31,90,top
J2,"camcon2","sr-cn-camcon2w",2120.05,1609.84,270,top
LED101,"PLCC2","sr-led-red-plcc2",1419.29,690.51,90,top
LED105,"PLCC2","sr-led-yellow-plcc2",2273.62,1203.23,270,top
U7,"SO8","sr-ic-fan7380",1854.19,1710.45,90,top
U4,"SO8","sr-ic-fan7380",1854.19,1419.11,90,top
U3,"OPTO4","sr-ic-hcpl-817",1361.37,1436.24,90,top
D3,"SOD80","sr-d-ll4448",1926.25,1171.28,0,top
D4,"SOD80","sr-d-ll4448",1799.21,1943.99,270,top
LED1,"PLCC2","sr-led-green-plcc2",1437.46,2226.38,180,top
U100,"TSSOP16","sr-ic-sn65lvds051",1374.01,385.84,180,bottom
C11,"0805","sr-c-2u2-0805",1854.33,1269.70,0,top
C12,"0805","sr-c-2u2-0805",1948.82,1929.15,0,top
R104,"1206","sr-r-100-1206",2064.96,492.15,270,bottom
F100,"1812","sr-fuse-r200-1812",401.47,414.62,180,top
